timestamp,paper,task_id,node_id,node_seq,iteration,git_commit,stage,domain,change_type,change_summary,metric.name,metric.value,metric.threshold,metric.pass,pass_fail,wall_clock_seconds
2026-06-17T08:26:09+00:00,bdnk-hmns,STEP0,step0.con2prim_ideal,1,1,835faae,validation,numerical,structural,STEP 0 prim<->cons round-trip across polytrope/ideal/tabulated + BDNK frozen,round_trip_max_rel_err,1.2e-14,1e-10,True,pass,5.0
2026-06-17T08:34:05+00:00,bdnk-hmns,STEP0,step0.con2prim_ideal,2,1,42821d3,validation,numerical,structural,"Shum Γ=2 EOS round-trip + STEP 0 validation figure (3 panels, log scale)",round_trip_max_rel_err,4.3e-15,1e-10,True,pass,8.0
2026-06-17T08:43:59+00:00,bdnk-hmns,1A,s1a.tov_background,1,2,5166645,validation,numerical,structural,TOV RK4 reproduce Bussières EOS1 M-R + convergence + Schwarzschild exterior,abs(M-1.27),0.0036,0.01,True,pass,6.0
2026-06-17T08:46:59+00:00,bdnk-hmns,STEP0,step0.bdnk_recovery,1,2,8b65a0e,validation,numerical,structural,"Conformal BDNK recovery (compute_xiD/uxD) + RH steady shock εR=4.4074,vR=0.41667",recovery round-trip err,1.8e-16,1e-09,True,pass,4.0
2026-06-17T08:51:53+00:00,bdnk-hmns,1A,s1a.tov_background,2,2,6062c9d,validation,numerical,scalar,Reproduce Shum M_T=1.4 M_sun (unit convention M_sun=G=c=1),abs(M-1.4),0.00016,0.02,True,pass,3.0
2026-06-17T08:59:59+00:00,bdnk-hmns,1A,s1a.radial_eig,1,3,7eeb307,validation,numerical,structural,"Radial Cowling spectrum converged 2nd-order, stable (real positive ω²)",f0 conv |Δ|/f rel,1e-05,0.0001,True,pass,12.0
2026-06-17T09:27:44+00:00,bdnk-hmns,1C,s1c.hrsc_core,1,4,da189d3,validation,numerical,structural,"Conformal flat-space WENO5+KT+Heun evolution: uniform exact, shock RH-consistent, stable",constant-state max|Δε|,0.0,1e-12,True,pass,15.0
2026-06-17T09:41:03+00:00,bdnk-hmns,1A,s1a.heat_criterion,1,4,77bef47,validation,proof,scalar,CY heat-conduction criterion c_s²−c_n²: ideal-gas analytic form reproduced,|Δ - (-(Γ-1)/(1+Γϵ))|,1e-12,1e-10,True,pass,5.0
2026-06-17T09:58:41+00:00,bdnk-hmns,STEP0,step0.causality,1,5,0d8c068,validation,symbolic,scalar,"Shum frame char speeds c+=√3 cs, c-=0.0183 cs reproduced (eq.67-71)",|c-/cs - 0.0183|,0.0001,0.001,True,pass,3.0
2026-06-17T10:07:50+00:00,bdnk-hmns,1C,s1c.imex,1,6,9c62371,validation,numerical,structural,"Conformal evolution self-convergence (3-grid Richardson) order 3.66, ordered 2nd-5th",convergence order,3.66,2.0,True,pass,20.0
2026-06-17T10:11:46+00:00,bdnk-hmns,STEP0,step0.bjorken,1,7,f7dad49,validation,numerical,structural,PMP Bjorken inviscid RK4 Q→16 + analytic match + diagnostic identity,diagnostic max dev,4.4e-16,1e-12,True,pass,10.0
2026-06-17T10:23:19+00:00,bdnk-hmns,FIG,fig.kovtun,1,8,b9ae736,validation,numerical,structural,"Kovtun 3 figures (cvphi, reshear, imshear) reproduced + VLM dual-checked; stability Im ω≤0",max Im ω,0.0,1e-10,True,pass,15.0
2026-06-17T12:01:45+00:00,bdnk-hmns,REPRO,s1b.qnm_freqdomain,1,10,b6b3cd5,validation,numerical,structural,"R4 axial w-mode (f,τ) reproduced <0.04% (re-verified)",max Δ,0.0004,0.01,True,pass,60.0
2026-06-17T12:01:45+00:00,bdnk-hmns,REPRO,s2.is_contrast,1,10,b6b3cd5,validation,numerical,structural,IS causality-fixed c_s'^2=0.9 exact,res,1e-16,1e-10,True,pass,60.0
